k,context,next,probability
1,u,z,0.00418191
1,v,</s>,0.02734839
1,v,a,0.13793103
1,v,b,0.00237812
1,v,c,0.00475624
1,v,d,0.00356718
1,v,e,0.49346017
1,v,g,0.00237812
1,v,h,0.00118906
1,v,i,0.24019025
1,v,o,0.06896552
1,v,p,0.00237812
1,v,r,0.00118906
1,v,s,0.00475624
1,v,t,0.00118906
1,v,u,0.00237812
1,v,x,0.00118906
1,v,y,0.00475624
1,w,</s>,0.11661342
1,w,a,0.20607029
1,w,b,0.00638978
1,w,c,0.00479233
1,w,d,0.00479233
1,w,e,0.16613419
1,w,f,0.00479233
1,w,h,0.04792332
1,w,i,0.16773163
1,w,k,0.00159744
1,w,l,0.01437700
1,w,m,0.00479233
1,w,n,0.04792332
1,w,o,0.09584665
1,w,p,0.00479233
1,w,r,0.02875399
1,w,s,0.04952077
1,w,t,0.00958466
1,w,u,0.00159744
1,w,v,0.00159744
1,w,w,0.00479233
1,w,x,0.00159744
1,w,y,0.00798722
1,x,</s>,0.20564516
1,x,a,0.07258065
1,x,b,0.00403226
1,x,c,0.09274194
1,x,e,0.09677419
1,x,f,0.00403226
1,x,h,0.02419355
1,x,i,0.10080645
1,x,l,0.00403226
1,x,m,0.00806452
1,x,o,0.00403226
1,x,p,0.21370968
1,x,t,0.12500000
1,x,u,0.03225806
1,x,y,0.01209677
1,y,</s>,0.70512821
1,y,a,0.01775148
1,y,b,0.00887574
1,y,c,0.01380671
1,y,d,0.00788955
1,y,e,0.04635108
1,y,g,0.00197239
1,y,h,0.00098619
1,y,i,0.02366864
1,y,l,0.01676529
1,y,m,0.02268245
1,y,n,0.01577909
1,y,o,0.02071006
1,y,p,0.01479290
1,y,r,0.01084813
1,y,s,0.04832347
1,y,t,0.00986193
1,y,u,0.00493097
1,y,w,0.00690335
1,y,z,0.00197239
1,z,</s>,0.12030075
1,z,a,0.16541353
1,z,b,0.00751880
1,z,d,0.01503759
1,z,e,0.33082707
1,z,i,0.11278195
1,z,l,0.01503759
1,z,o,0.09774436
1,z,r,0.00751880
1,z,s,0.00751880
1,z,u,0.03759398
1,z,y,0.03007519
1,z,z,0.05263158
